tow_date,tow_reason,storage_company,street,city,geo_location,longitude,latitude,location,block,hh_income,pop_total,pop_black,state,tract
2020-02-02,PKG,Henrys,20211 Goshen Rd,Gaithersburg,POINT (-77.186358 39.188288),-77.186358,39.188288,"(39.188288, -77.186358)",7001041,118906,2619,518,24,700104
2020-02-09,PKG,Authorized,8750 Ravenglass Way,Montgomery Village,POINT (-77.182157 39.187838),-77.18215699999999,39.187838,"(39.187838, -77.182157)",7001041,118906,2619,518,24,700104
2020-02-01,NOP,Authorized,11 Welbeck Ct,Montgomery Village,POINT (-77.183527 39.186796),-77.183527,39.186796,"(39.186796, -77.183527)",7001041,118906,2619,518,24,700104
2020-02-22,FIRE,Auth,8506 Hawk Run Ter,Montgomery Village,POINT (-77.178126 39.187047),-77.178126,39.187047,"(39.187047, -77.178126)",7001041,118906,2619,518,24,700104
2020-05-16,NO OVERNIGHT PARKING,Henrys,20211 Goshen Rd,Gaithersburg,POINT (-77.186358 39.188288),-77.186358,39.188288,"(39.188288, -77.186358)",7001041,118906,2619,518,24,700104
2020-04-05,PRV,Henrys,20211 Goshen Rd,Gaithersburg,POINT (-77.186358 39.188288),-77.186358,39.188288,"(39.188288, -77.186358)",7001041,118906,2619,518,24,700104
2020-04-13,NOP,Authorized,8871 Welbeck Way,Montgomery Village,POINT (-77.183601 39.187465),-77.183601,39.187465,"(39.187465, -77.183601)",7001041,118906,2619,518,24,700104
2020-04-06,PRV,Henrys,20211 Goshen Rd,Gaithersburg,POINT (-77.186358 39.188288),-77.186358,39.188288,"(39.188288, -77.186358)",7001041,118906,2619,518,24,700104
2020-04-01,NOP,Authorized,8731 Welbeck Way,Montgomery Village,POINT (-77.183855 39.185583),-77.18385500000001,39.185583,"(39.185583, -77.183855)",7001041,118906,2619,518,24,700104
2020-06-15,NOP,Authorized,20403 Ivybridge Ct,Montgomery Village,POINT (-77.17794 39.188889),-77.17794,39.188889,"(39.188889, -77.17794)",7001041,118906,2619,518,24,700104
2020-06-19,NOP,Authorized,8678 Welbeck Way,Montgomery Village,POINT (-77.182523 39.186198),-77.182523,39.186198,"(39.186198, -77.182523)",7001041,118906,2619,518,24,700104
2020-07-31,NOP,Authorized,8416 Marketree Cir,Montgomery Village,POINT (-77.174736 39.188854),-77.174736,39.188854,"(39.188854, -77.174736)",7001041,118906,2619,518,24,700104
2020-07-28,DAV,Authorized,20139 Welbeck Ter,Montgomery Village,POINT (-77.182915 39.186604),-77.18291500000001,39.186603999999996,"(39.186604, -77.182915)",7001041,118906,2619,518,24,700104
