tow_date,tow_reason,storage_company,notes,incident_date,street,city,geo_location,longitude,latitude,location
2020-04-30,NOP,Other,,05/02/0020,19757 Crystal Rock Dr,Germantown,POINT (-77.261484 39.179888),-77.261484,39.179888,"39.179888,-77.261484"
2020-06-13,FIRE,Other,,06/15/0020,20107 Torrey Pond Pl,Montgomery Village,POINT (-77.204705 39.185963),-77.204705,39.185963,"39.185963,-77.204705"
2020-07-02,NOP,Big Tow,,02/22/0007,5021 Bradley Blvd,Chevy Chase,POINT (-77.10044 38.977851),-77.10044,38.977851,"38.977851,-77.10044"
2020-02-17,,Trp,,02/17/2020,7734 Maple Ave,Takoma Park,POINT (-77.004105 38.98446),-77.004105,38.98446,"38.98446,-77.004105"
2020-02-16,FIRE,On The Run,,02/16/2020,13065 Wisteria Dr,Germantown,POINT (-77.271104 39.1775),-77.271104,39.1775,"39.1775,-77.271104"
2020-02-17,PRV,Other,,02/17/2020,7 Mc Causland Pl,Gaithersburg,POINT (-77.194636 39.129135),-77.194636,39.129135,"39.129135,-77.194636"
2020-04-30,NOP,Henrys,,05/02/0020,16 State Ct,Gaithersburg,POINT (-77.180855 39.143028),-77.180855,39.143028,"39.143028,-77.180855"
2020-05-17,PRV,Other,,05/19/0020,18420 Guildberry Dr,Gaithersburg,POINT (-77.162828 39.160132),-77.162828,39.160132,"39.160132,-77.162828"
2020-05-18,PKG,Henrys,Henrys,05/20/0020,7411 Aspen Ct,Takoma Park,POINT (-76.998141 38.980389),-76.998141,38.980389,"38.980389,-76.998141"
2020-04-13,NOP,Authorized,Authorized,04/15/0020,19757 Crystal Rock Dr,Germantown,POINT (-77.261484 39.179888),-77.261484,39.179888,"39.179888,-77.261484"
2020-04-09,PKG,Prestige,Handicap Spot Without Placard Or Tag   Prestige,09/22/0004,1970 Rosemary Hills Dr,Silver Spring,POINT (-77.042077 38.999696),-77.042077,38.999696,"38.999696,-77.042077"
2020-04-25,PKG,Henrys,Henrys,04/27/0020,2800 Shepperton Ter,Silver Spring,POINT (-76.951448 39.083196),-76.951448,39.083196,"39.083196,-76.951448"
2020-04-30,NOP,Henrys,Henrys,05/02/0020,18710 Walkers Choice Rd,Montgomery Village,POINT (-77.204414 39.163187),-77.204414,39.163187,"39.163187,-77.204414"
2020-04-24,PKG,Authorized,Authorized,04/26/0020,18645 Pier Point Pl,Montgomery Village,POINT (-77.198325 39.160505),-77.198325,39.160505,"39.160505,-77.198325"
