tow_date,tow_reason,storage_company,notes,incident_date,street,city,geo_location,longitude,latitude,location
2020-04-10,PKG,Prestige,Prestige,10/22/0004,101 Park Ave,Gaithersburg,POINT (-77.195077 39.144489),-77.195077,39.144489,"39.144489,-77.195077"
2020-04-12,NOP,Henrys,Henrys,12/22/0004,18451 Mateny Rd,Germantown,POINT (-77.266342 39.15778),-77.266342,39.15778,"39.15778,-77.266342"
2020-04-14,NOP,Henrys,Henrys,04/16/0020,9800 Walker House Rd,Montgomery Village,POINT (-77.20679 39.162847),-77.20679,39.162847,"39.162847,-77.20679"
2020-04-05,NOP,A&M,A&M Tow,05/22/0004,18931 Snow Fields Cir,Germantown,POINT (-77.250936 39.165158),-77.250936,39.165158,"39.165158,-77.250936"
2020-04-14,NOP,Henrys,Henrys,04/16/0020,950 West Side Dr,Gaithersburg,POINT (-77.204068 39.125395),-77.204068,39.125395,"39.125395,-77.204068"
2020-04-12,PKG,Custom,Illegally Pkd Pkd Overnight  Custom,12/22/0004,198 Halpine Rd,Rockville,POINT (-77.125832 39.06084),-77.125832,39.06084,"39.06084,-77.125832"
2020-04-01,NOP,Henrys,Henrys,01/22/0004,2 Turtle Dove Ct,Gaithersburg,POINT (-77.187088 39.177899),-77.187088,39.177899,"39.177899,-77.187088"
2020-04-09,PKG,Henrys,Henrys,09/22/0004,20303 Gentle Way,Montgomery Village,POINT (-77.19326 39.189554),-77.19326,39.189554,"39.189554,-77.19326"
2020-04-24,NOP,Auburn,Auburn,04/26/0020,374 N Summit Ave,Gaithersburg,POINT (-77.193068 39.149053),-77.193068,39.149053,"39.149053,-77.193068"
2020-04-21,NOP,Henrys,Henrys,04/23/0020,8130 Pepperwood Ln,Gaithersburg,POINT (-77.167129 39.145024),-77.167129,39.145024,"39.145024,-77.167129"
2020-04-24,NOP,Authorize,Authorize,04/26/0020,13831 Castle Blvd,Silver Spring,POINT (-76.942666 39.083117),-76.942666,39.083117,"39.083117,-76.942666"
2020-04-01,FIRE,Prestigue,Prestigue Towing,01/22/0004,1970 Rosemary Hills Dr,Silver Spring,POINT (-77.042077 38.999696),-77.042077,38.999696,"38.999696,-77.042077"
2020-04-14,IMP,Authorized,Authorized Towing  To  For,04/16/0020,8021 Georgia Ave,Silver Spring,POINT (-77.026573 38.987758),-77.026573,38.987758,"38.987758,-77.026573"
2020-04-30,PKG,Authorized,No  Zone   Authorized,05/02/0020,19101 Capehart Dr,Montgomery Village,POINT (-77.217325 39.169505),-77.217325,39.169505,"39.169505,-77.217325"
2020-04-13,NOP,Henrys,No  Permit   Henrys,04/15/0020,19030 Mills Choice Rd,Montgomery Village,POINT (-77.208317 39.167912),-77.208317,39.167912,"39.167912,-77.208317"
2020-04-07,NOP,Speedy,Speedy,07/22/0004,18211 Chalet Dr,Germantown,POINT (-77.274616 39.156234),-77.274616,39.156234,"39.156234,-77.274616"
2020-04-20,NOP,Authorized,Authorized,04/22/0020,3510 Pear Tree Ct,Silver Spring,POINT (-77.069827 39.089314),-77.069827,39.089314,"39.089314,-77.069827"
2020-04-06,NOP,Authorized,Auth,06/22/0004,3310 Teagarden Cir,Silver Spring,POINT (-76.944438 39.081748),-76.944438,39.081748,"39.081748,-76.944438"
2020-04-26,NOP,Authorized,Authorized Towing,04/28/0020,11225 Oak Leaf Dr,Silver Spring,POINT (-76.995468 39.040254),-76.995468,39.040254,"39.040254,-76.995468"
2020-04-10,NOP,Big Tow Towing,Big Tow,10/22/0004,6817 Fairfax Rd,Bethesda,POINT (-77.101227 38.978732),-77.101227,38.978732,"38.978732,-77.101227"
2020-04-11,NOP,Authorized,Authorized,11/22/0004,13831 Castle Blvd,Silver Spring,POINT (-76.942666 39.083117),-76.942666,39.083117,"39.083117,-76.942666"
2020-04-23,PKG,Authorized,Handicap  W O Tag Or Permit   Authorized,04/25/0020,9806 Mahogany Dr,Gaithersburg,POINT (-77.201438 39.114884),-77.201438,39.114884,"39.114884,-77.201438"
2020-04-11,NOP,Led,Led Towing,11/22/0004,14136 Grand Pre Rd,Silver Spring,POINT (-77.074991 39.08844),-77.074991,39.08844,"39.08844,-77.074991"
2020-04-18,NOP,Am Towing,A&M,04/20/0020,12140 Flag Harbor Dr,Germantown,POINT (-77.252892 39.164512),-77.252892,39.164512,"39.164512,-77.252892"
2020-04-30,NOP,Speedy,Speedy,05/02/0020,9328 Taverney Ter,Gaithersburg,POINT (-77.192194 39.176005),-77.192194,39.176005,"39.176005,-77.192194"
2020-04-06,NOP,Henrys,Henrys Towing    Btl,06/22/0004,3411 Gateshead Manor Way,Silver Spring,POINT (-76.936504 39.078224),-76.936504,39.078224,"39.078224,-76.936504"
2020-04-05,PKG,Auth,Auth     Handicap,05/22/0004,11225 Oak Leaf Dr,Silver Spring,POINT (-76.995468 39.040254),-76.995468,39.040254,"39.040254,-76.995468"
2020-04-02,PKG,Diversified,Diversified    Veh  Driveway,02/22/0004,4716 Bradley Blvd,Chevy Chase,POINT (-77.092317 38.977714),-77.092317,38.977714,"38.977714,-77.092317"
2020-04-16,NOP,Authorized,Authorized,04/18/0020,14120 Weeping Willow Dr,Silver Spring,POINT (-77.06692 39.088854),-77.06692,39.088854,"39.088854,-77.06692"
2020-04-19,NOP,Authorized,Authorized,04/21/0020,3300 Teagarden Cir,Silver Spring,POINT (-76.944111 39.080737),-76.944111,39.080737,"39.080737,-76.944111"
2020-04-13,PKG,Prestige,Prestige,04/15/0020,101 Park Ave,Gaithersburg,POINT (-77.195077 39.144489),-77.195077,39.144489,"39.144489,-77.195077"
2020-04-25,NOP,Drive,Drive,04/27/0020,1707 Mt Pisgah Ln,Silver Spring,POINT (-76.974938 39.014827),-76.974938,39.014827,"39.014827,-76.974938"
2020-04-08,NOP,Henrys,Henrys,08/22/0004,10201 Washingtonian Blvd,Gaithersburg,POINT (-77.206538 39.118032),-77.206538,39.118032,"39.118032,-77.206538"
2020-04-22,PKG,Henrys,No Handicap Permit   Henrys,04/24/0020,13639 Harvest Glen Way,Germantown,POINT (-77.278598 39.176018),-77.278598,39.176018,"39.176018,-77.278598"
2020-04-19,NOP,Authorized,Authorized,04/21/0020,9806 Mahogany Dr,Gaithersburg,POINT (-77.201438 39.114884),-77.201438,39.114884,"39.114884,-77.201438"
2020-04-21,PRV,Prestige,Prestige,04/23/0020,429 W Diamond Ave,Gaithersburg,POINT (-77.208879 39.14042),-77.208879,39.14042,"39.14042,-77.208879"
2020-04-10,FIRE,Henrys,Henrys,10/22/0004,20200 Spring Haven Ct,Montgomery Village,POINT (-77.190888 39.188782),-77.190888,39.188782,"39.188782,-77.190888"
2020-04-11,PKG,Custom,Custom,11/22/0004,18326 Contour Rd,Gaithersburg,POINT (-77.200473 39.155261),-77.200473,39.155261,"39.155261,-77.200473"
2020-04-29,NOP,Authorized,Authorized Towing  To  For,05/01/0020,19757 Crystal View Ct,Germantown,POINT (-77.22855 39.179189),-77.22855,39.179189,"39.179189,-77.22855"
2020-04-20,NOP,Henrys,Henrys,04/22/0020,12907 Woodcutter Cir,Germantown,POINT (-77.266861 39.206544),-77.266861,39.206544,"39.206544,-77.266861"
2020-04-30,PKG,Hernys,No Commercial  Hernys,05/02/0020,11933 Crimson Ln,Silver Spring,POINT (-76.974092 39.05252),-76.974092,39.05252,"39.05252,-76.974092"
2020-04-15,PRV,Prestige,Prop   Prestige,04/17/0020,1970 Rosemary Hills Dr,Silver Spring,POINT (-77.042077 38.999696),-77.042077,38.999696,"38.999696,-77.042077"
2020-04-09,72,Speedy,Hours   Speedy,09/22/0004,14800 Crosswood Ter,Burtonsville,POINT (-76.922546 39.096894),-76.922546,39.096894,"39.096894,-76.922546"
2020-04-24,DOUBLE PARKED,Drive,Drive,04/26/0020,400 Southampton Dr,Silver Spring,POINT (-76.982847 39.006045),-76.982847,39.006045,"39.006045,-76.982847"
2020-04-13,PRV,Prestige,Private Property   Prestige,04/15/0020,3600 Bel Pre Rd,Silver Spring,POINT (-77.072797 39.093024),-77.072797,39.093024,"39.093024,-77.072797"
2020-04-17,PKG,Prestige,Resereved   Prestige,04/19/0020,101 Park Ave,Gaithersburg,POINT (-77.195077 39.144489),-77.195077,39.144489,"39.144489,-77.195077"
2020-04-08,NOP,Henrys,Improper Permit Display   Henrys,08/22/0004,5901 Montrose Rd,Rockville,POINT (-77.1192 39.052973),-77.1192,39.052973,"39.052973,-77.1192"
2020-04-28,FIRE,Authroized,Authroized,04/30/0020,2 Manchester Pl,Silver Spring,POINT (-77.009246 39.001243),-77.009246,39.001243,"39.001243,-77.009246"
2020-04-24,NOP,Authorized,Authorized,04/26/0020,13831 Castle Blvd,Silver Spring,POINT (-76.942666 39.083117),-76.942666,39.083117,"39.083117,-76.942666"
2020-04-23,PKG,Authorized,Authorized,04/25/0020,2 Manchester Pl,Silver Spring,POINT (-77.009246 39.001243),-77.009246,39.001243,"39.001243,-77.009246"
2020-04-18,NOP,Authorize,Authorize,04/20/0020,14120 Weeping Willow Dr,Silver Spring,POINT (-77.06692 39.088854),-77.06692,39.088854,"39.088854,-77.06692"
2020-04-25,NOP,Authorized,Authorized,04/27/0020,19757 Crystal Rock Dr,Germantown,POINT (-77.261484 39.179888),-77.261484,39.179888,"39.179888,-77.261484"
2020-04-06,NOP,Big Tow,Big Tow,06/22/0004,10320 Ridgeline Dr,Montgomery Village,POINT (-77.207523 39.17523),-77.207523,39.17523,"39.17523,-77.207523"
2020-04-06,PKG,Henrys,Unauth Pking   Henrys,06/22/0004,74 State Ct,Gaithersburg,POINT (-77.180497 39.142995),-77.180497,39.142995,"39.142995,-77.180497"
2020-04-20,PKG,Henrys,Henrys Towing  To  For  (No Comm Veh Permitted),04/22/0020,3720 Bel Pre Rd,Silver Spring,POINT (-77.074435 39.093393),-77.074435,39.093393,"39.093393,-77.074435"
2020-04-27,NOP,Henrys,Henrys,04/29/0020,11101 Little Fox Ln,Germantown,POINT (-77.229263 39.176588),-77.229263,39.176588,"39.176588,-77.229263"
2020-04-10,NOP,Authorize,Authorize    *Owner Notified*,10/22/0004,8800 Manchester Rd,Silver Spring,POINT (-77.009788 38.999925),-77.009788,38.999925,"38.999925,-77.009788"
2020-04-05,NOP,Authorize,Authorize,05/22/0004,13929 Castle Blvd,Silver Spring,POINT (-76.940557 39.084606),-76.940557,39.084606,"39.084606,-76.940557"
2020-04-17,NOP,Henrys,Henrys,04/19/0020,4521 East West Hwy,Bethesda,POINT (-77.092131 38.984898),-77.092131,38.984898,"38.984898,-77.092131"
2020-04-22,NOP,Henrys,Reason  Henrys,04/24/0020,9813 Bethesda Church Rd,Damascus,POINT (-77.20374 39.28355),-77.20374,39.28355,"39.28355,-77.20374"
2020-04-27,PRV,,Prop  Prestige,04/29/0020,3004 Bel Pre Rd,Silver Spring,POINT (-77.062826 39.091315),-77.062826,39.091315,"39.091315,-77.062826"
2020-04-05,NOP,Authorized,Authorized,05/22/0004,19757 Crystal Rock Dr,Germantown,POINT (-77.261484 39.179888),-77.261484,39.179888,"39.179888,-77.261484"
2020-04-04,NOP,Speedy,Speedy,04/22/0004,18011 Calabar Dr,Gaithersburg,POINT (-77.164283 39.150346),-77.164283,39.150346,"39.150346,-77.164283"
2020-04-26,NOP,Diversified,Diversified,04/28/0020,5202 Crossfield Ct,Rockville,POINT (-77.10315 39.057038),-77.10315,39.057038,"39.057038,-77.10315"
2020-04-17,NOP,Authorized,Authorized (),04/19/0020,14120 Weeping Willow Dr,Silver Spring,POINT (-77.06692 39.088854),-77.06692,39.088854,"39.088854,-77.06692"
2020-04-28,EXP,Authorized,Authorized,04/30/0020,9806 Mahogany Dr,Gaithersburg,POINT (-77.201438 39.114884),-77.201438,39.114884,"39.114884,-77.201438"
2020-04-16,NOP,Auburn,Auburn,04/18/0020,136 Duvall Ln,Gaithersburg,POINT (-77.202556 39.128982),-77.202556,39.128982,"39.128982,-77.202556"
2020-04-04,NOP,Henrys,Henrys,04/22/0004,19456 Zinnia Cir,Germantown,POINT (-77.243652 39.175115),-77.243652,39.175115,"39.175115,-77.243652"
2020-04-08,PKG,Tcfl,Speedy   Ill Parked Ifo Dumpster,08/22/0004,8615 Fenton St,Silver Spring,POINT (-77.027717 38.997959),-77.027717,38.997959,"38.997959,-77.027717"
2020-04-22,NOP,Henrys,Invaild Permit  Henrys,04/24/0020,18710 Walkers Choice Rd,Montgomery Village,POINT (-77.204414 39.163187),-77.204414,39.163187,"39.163187,-77.204414"
2020-04-15,NOP,Authorized,Authorized,04/17/0020,8021 Georgia Ave,Silver Spring,POINT (-77.026573 38.987758),-77.026573,38.987758,"38.987758,-77.026573"
2020-04-16,NOP,Drive,Drive,04/18/0020,75 E Wayne Ave,Silver Spring,POINT (-77.007965 39.001459),-77.007965,39.001459,"39.001459,-77.007965"
2020-04-23,PKG,Custom,Property   Custom,04/25/0020,1370 Lamberton Dr,Silver Spring,POINT (-77.029899 39.040866),-77.029899,39.040866,"39.040866,-77.029899"
2020-04-17,,,Two Spaces,04/19/0020,28 Lee Ave,Takoma Park,POINT (-77.005753 38.979225),-77.005753,38.979225,"38.979225,-77.005753"
2020-04-02,NOP,Authorized,Authorized,02/22/0004,10914 Georgia Ave,Silver Spring,POINT (-77.04962 39.035307),-77.04962,39.035307,"39.035307,-77.04962"
2020-04-22,PKG,Authorized,Authorized,04/24/0020,9300 Bathgate Ct,Montgomery Village,POINT (-77.191288 39.192625),-77.191288,39.192625,"39.192625,-77.191288"
2020-04-21,PKG,Henrys,Verano     Henrys,04/23/0020,13200 Country Ridge Dr,Germantown,POINT (-77.271493 39.184333),-77.271493,39.184333,"39.184333,-77.271493"
2020-04-30,PKG,Henrys,Henrys,05/02/0020,635 Eden Pl,Gaithersburg,POINT (-77.189238 39.152567),-77.189238,39.152567,"39.152567,-77.189238"
2020-04-07,NOP,Rickies,Reason   Tow Co   Rickies,07/22/0004,820 University Blvd E,Silver Spring,POINT (-76.99322 38.996422),-76.99322,38.996422,"38.996422,-76.99322"
2020-04-21,PKG,Henrys,Blocking Alley   Henrys,04/23/0020,22100 Fulmer Ave,Clarksburg,POINT (-77.288074 39.217898),-77.288074,39.217898,"39.217898,-77.288074"
2020-04-05,NOP,Authorized,Authorized,05/22/0004,11225 Oak Leaf Dr,Silver Spring,POINT (-76.995468 39.040254),-76.995468,39.040254,"39.040254,-76.995468"
2020-04-14,NOP,Henrys,Henrys,04/16/0020,7901 Badenloch Way,Gaithersburg,POINT (-77.165158 39.157524),-77.165158,39.157524,"39.157524,-77.165158"
2020-04-16,PKG,Authorized,Veh     Authorized,04/18/0020,8703 Gilbert Pl,Takoma Park,POINT (-76.997152 38.998384),-76.997152,38.998384,"38.998384,-76.997152"
2020-04-26,NOP,Henrys,Henrys,04/28/0020,40 Anna Ct,Gaithersburg,POINT (-77.183744 39.145754),-77.183744,39.145754,"39.145754,-77.183744"
2020-04-14,NOP,Am Towing,A&M,04/16/0020,12500 Spring Harbor Pl,Germantown,POINT (-77.258045 39.168841),-77.258045,39.168841,"39.168841,-77.258045"
2020-04-02,NOP,Henrys,Reserved Spot  Henry,02/22/0004,9867 Brookridge Ct,Montgomery Village,POINT (-77.201352 39.18818),-77.201352,39.18818,"39.18818,-77.201352"
2020-04-26,NOP,Authorize,,04/28/0020,19757 Crystal Rock Dr,Germantown,POINT (-77.261484 39.179888),-77.261484,39.179888,"39.179888,-77.261484"
2020-04-10,NOP,Henrys,Henrys,10/22/0004,18739 Harmony Woods Ln,Germantown,POINT (-77.271469 39.161991),-77.271469,39.161991,"39.161991,-77.271469"
2020-04-25,EXP,Authorized,Authorized,04/27/0020,4918 St Elmo Ave,Bethesda,POINT (-77.097855 38.988416),-77.097855,38.988416,"38.988416,-77.097855"
2020-04-12,PKG,Henrys,Blocking Other Veh  Henrys,12/22/0004,10075 Shelldrake Cir,Damascus,POINT (-77.208028 39.279092),-77.208028,39.279092,"39.279092,-77.208028"
2020-04-10,PKG,Henrys,Henrys,10/22/0004,12001 Old Columbia Pike,Silver Spring,POINT (-76.975033 39.053272),-76.975033,39.053272,"39.053272,-76.975033"
2020-04-17,NOP,Authorized,Authorized,04/19/0020,13202 Bristlecone Way,Germantown,POINT (-77.275906 39.185885),-77.275906,39.185885,"39.185885,-77.275906"
2020-04-12,PKG,Henrys,Space W O Permit   Henrys,12/22/0004,18906 Smoothstone Way,Montgomery Village,POINT (-77.209205 39.166796),-77.209205,39.166796,"39.166796,-77.209205"
2020-04-03,NOP,Drive,,03/22/0004,1711 Hampshire Green Ln,Silver Spring,POINT (-76.974121 39.015969),-76.974121,39.015969,"39.015969,-76.974121"
2020-04-05,NOP,Custom Towing,Custom,05/22/0004,1226 1St St,Rockville,POINT (-77.134183 39.0932),-77.134183,39.0932,"39.0932,-77.134183"
2020-04-01,PRV,Authorized,Authorized,01/22/0004,9920 Shelburne Ter,Gaithersburg,POINT (-77.204588 39.116242),-77.204588,39.116242,"39.116242,-77.204588"
2020-04-05,NOP,Custom,Custom,05/22/0004,18507 Carriage Walk Cir,Gaithersburg,POINT (-77.167873 39.163787),-77.167873,39.163787,"39.163787,-77.167873"
2020-04-03,PKG,Authorize,Handicap Only,03/22/0004,9903 Boysenberry Way,Gaithersburg,POINT (-77.206633 39.160549),-77.206633,39.160549,"39.160549,-77.206633"
2020-04-01,NOP,A&M,A&M Towing,01/22/0004,12144 Island View Cir,Germantown,POINT (-77.252664 39.16597),-77.252664,39.16597,"39.16597,-77.252664"
2020-04-16,NOP,Henrys,Henrys,04/18/0020,3810 Bel Pre Rd,Silver Spring,POINT (-77.075148 39.093565),-77.075148,39.093565,"39.093565,-77.075148"
2020-04-04,PKG,Authorized,Expired Pass   Authorized,04/22/0004,10914 Georgia Ave,Silver Spring,POINT (-77.04962 39.035307),-77.04962,39.035307,"39.035307,-77.04962"
2020-04-28,NOP,Prestige,Prestige,04/30/0020,8200 Spiceberry Ln,Gaithersburg,POINT (-77.164221 39.152013),-77.164221,39.152013,"39.152013,-77.164221"
2020-04-21,NOP,Authorize,,04/23/0020,2006 Baltimore Rd,Rockville,POINT (-77.118366 39.084681),-77.118366,39.084681,"39.084681,-77.118366"
2020-05-06,NOP,Henrys,Henrys,06/22/0005,3510 Aston Manor Ct,Silver Spring,POINT (-76.935731 39.079891),-76.935731,39.079891,"39.079891,-76.935731"
2020-04-07,FIRE,Henrys,Henrys,07/22/0004,1541 N Falkland Ln,Silver Spring,POINT (-77.034972 38.995599),-77.034972,38.995599,"38.995599,-77.034972"
2020-04-11,NOP,Henrys,Manager   Henrys,11/22/0004,15917 Indian Hills Ter,Derwood,POINT (-77.153545 39.117221),-77.153545,39.117221,"39.117221,-77.153545"
2020-04-01,DAV,Henrys,Flat Tires    Henrys,01/22/0004,20222 Lea Pond Pl,Montgomery Village,POINT (-77.190841 39.18832),-77.190841,39.18832,"39.18832,-77.190841"
2020-04-05,NOP,Authorzied,Authorzied,05/22/0004,11225 Oak Leaf Dr,Silver Spring,POINT (-76.995468 39.040254),-76.995468,39.040254,"39.040254,-76.995468"
2020-04-28,PKG,Henrys,Henrys,04/30/0020,17500 Towne Crest Dr,Gaithersburg,POINT (-77.173713 39.146028),-77.173713,39.146028,"39.146028,-77.173713"
2020-04-20,PKG,Prestige,Pkd In  Prestige,04/22/0020,101 Park Ave,Gaithersburg,POINT (-77.195077 39.144489),-77.195077,39.144489,"39.144489,-77.195077"
2020-04-26,PKG,Authorized,W    Authorized,04/28/0020,9905 Boysenberry Way,Gaithersburg,POINT (-77.206639 39.160542),-77.206639,39.160542,"39.160542,-77.206639"
2020-04-11,NOP,Henrys,Henrys,11/22/0004,9140 Rothbury Dr,Montgomery Village,POINT (-77.189212 39.185518),-77.189212,39.185518,"39.185518,-77.189212"
2020-04-05,,Big Tow Towing,Handicap Violation   Big Tow,05/22/0004,8010 Needwood Rd,Derwood,POINT (-77.157633 39.125146),-77.157633,39.125146,"39.125146,-77.157633"
2020-04-04,NOP,Henrys,Henrys   Btl,04/22/0004,10104 Little Pond Pl,Montgomery Village,POINT (-77.208211 39.166813),-77.208211,39.166813,"39.166813,-77.208211"
2020-04-13,NOP,Authorized,Reason  Authorized,04/15/0020,13831 Castle Blvd,Silver Spring,POINT (-76.942666 39.083117),-76.942666,39.083117,"39.083117,-76.942666"
2020-04-21,72,Aau,Hr    Auburn,04/23/0020,10101 Grosvenor Pl,Rockville,POINT (-77.10456 39.022735),-77.10456,39.022735,"39.022735,-77.10456"
2020-04-17,NOP,Authorized,Authorized,04/19/0020,9627 Horizon Run Rd,Montgomery Village,POINT (-77.197622 39.156921),-77.197622,39.156921,"39.156921,-77.197622"
2020-04-14,NOP,Rickies,Rickies,04/16/0020,3418 Robey Ter,Silver Spring,POINT (-76.938442 39.082759),-76.938442,39.082759,"39.082759,-76.938442"
2020-04-27,EXP,Authorized,Exp   Authorized,04/29/0020,11151 Georgia Ave,Silver Spring,POINT (-77.050371 39.037545),-77.050371,39.037545,"39.037545,-77.050371"
2020-04-17,NOP,Authroized,No P      Authroized   (),04/19/0020,370 E Diamond Ave,Gaithersburg,POINT (-77.190888 39.142111),-77.190888,39.142111,"39.142111,-77.190888"
2020-04-04,EXP,Authorized,Authorized,04/22/0004,10914 Georgia Ave,Silver Spring,POINT (-77.04962 39.035307),-77.04962,39.035307,"39.035307,-77.04962"
2020-04-29,PRK,Henrys,Henrys,05/01/0020,17801 Buehler Rd,Olney,POINT (-77.06341 39.148955),-77.06341,39.148955,"39.148955,-77.06341"
2020-04-29,NOP,Authorized,Authorized,05/01/0020,3919 Madison Park Ln,Burtonsville,POINT (-76.930705 39.080349),-76.930705,39.080349,"39.080349,-76.930705"
2020-04-18,PKG,Diversified,Diversified,04/20/0020,5200 Crossfield Ct,Rockville,POINT (-77.103104 39.05705),-77.103104,39.05705,"39.05705,-77.103104"
2020-04-08,NOP,Henrys,Henrys,08/22/0004,18916 Smoothstone Way,Montgomery Village,POINT (-77.209213 39.166852),-77.209213,39.166852,"39.166852,-77.209213"
2020-04-20,NOP,Big,Big Tow,04/22/0020,2484 Sun Valley Cir,Silver Spring,POINT (-77.049309 39.092286),-77.049309,39.092286,"39.092286,-77.049309"
2020-04-29,NOP,Big,Big Tow,05/01/0020,6811 Fairfax Rd,Bethesda,POINT (-77.10122 38.978723),-77.10122,38.978723,"38.978723,-77.10122"
2020-04-18,PKG,Diversified,()  Diversified    Owner Notif,04/20/0020,4716 Bradley Blvd,Chevy Chase,POINT (-77.092317 38.977714),-77.092317,38.977714,"38.977714,-77.092317"
2020-04-09,NOP,Henrys,Henrys,09/22/0004,19440 Zinnia Cir,Germantown,POINT (-77.243815 39.174705),-77.243815,39.174705,"39.174705,-77.243815"
2020-04-27,NOP,Henrys,Henrys,04/29/0020,11800 Ashbrook Ct,Germantown,POINT (-77.242481 39.173632),-77.242481,39.173632,"39.173632,-77.242481"
2020-04-02,PRV,Henrys,Commercial Veh On Prop   Henrys,02/22/0004,1 Cinzano Ct,Gaithersburg,POINT (-77.229055 39.134958),-77.229055,39.134958,"39.134958,-77.229055"
2020-04-27,NOP,Henrys,Henrys,04/29/0020,504 Mt Vernon Pl,Rockville,POINT (-77.148623 39.07772),-77.148623,39.07772,"39.07772,-77.148623"
2020-05-21,NOP,Prestige,Prestige,05/23/0020,14 S Frederick Ave,Gaithersburg,POINT (-77.197257 39.140275),-77.197257,39.140275,"39.140275,-77.197257"
2020-05-25,NOP,Prestige,Prestige,05/27/0020,14 S Frederick Ave,Gaithersburg,POINT (-77.197257 39.140275),-77.197257,39.140275,"39.140275,-77.197257"
2020-05-23,NOP,Henrys,Henrys,05/25/0020,19451 Breezedale Ln,Germantown,POINT (-77.243053 39.175243),-77.243053,39.175243,"39.175243,-77.243053"
2020-05-24,FIRE,Henrys,,05/26/0020,9724 Shadow Oak Dr,Montgomery Village,POINT (-77.200895 39.191031),-77.200895,39.191031,"39.191031,-77.200895"
2020-04-19,NOP,Speedy,Speedy,04/21/0020,18010 Chalet Dr,Germantown,POINT (-77.272917 39.154777),-77.272917,39.154777,"39.154777,-77.272917"
2020-05-05,NOP,Speedy,Speedy   Commercial Veh,05/22/0005,17919 Calabar Dr,Gaithersburg,POINT (-77.16442 39.150006),-77.16442,39.150006,"39.150006,-77.16442"
2020-05-06,NOP,Henrys,Henrys,06/22/0005,3815 Lansdale Ct,Burtonsville,POINT (-76.932033 39.084234),-76.932033,39.084234,"39.084234,-76.932033"
2020-05-02,NOP,Authorized,Authorized,02/22/0005,19570 Crystal Rock Dr,Germantown,POINT (-77.26224 39.177354),-77.26224,39.177354,"39.177354,-77.26224"
2020-05-08,NOP,Henrys,Henrys,08/22/0005,14425 Bakersfield Ct,Silver Spring,POINT (-77.044384 39.091884),-77.044384,39.091884,"39.091884,-77.044384"
2020-05-22,NOP,Henrys,Henrys,05/24/0020,18802 Walkers Choice Rd,Montgomery Village,POINT (-77.204927 39.164385),-77.204927,39.164385,"39.164385,-77.204927"
2020-05-01,NOP,Henrys,Henrys,01/22/0005,11952 Bargate Ct,Rockville,POINT (-77.132137 39.052597),-77.132137,39.052597,"39.052597,-77.132137"
2020-05-05,NOP,Drive,Drive,05/22/0005,1801 Hampshire Green Ln,Silver Spring,POINT (-76.974173 39.015179),-76.974173,39.015179,"39.015179,-76.974173"
